"","Date","Ticker","DA_ROI","VA_ROI","GA_ROI","DA_Value","VA_Value_Required","GA_Value","VA_Over_400","GA_Over_400","VA_Over_300","GA_Over_300","VA_Over_200","GA_Over_200","DA_Sharpe_Ratio","VA_Sharpe_Ratio","GA_Sharpe_Ratio"
"11","2011+5","SPY",26.9497388506789,31.1413324013016,28.4920527784247,7616.98433104074,6000,6998.5586937032,0,0,0,0,1,0,1.23874950828063,1.24577561616198,1.24010541160434
"12","2012+5","SPY",25.5167075974175,29.5474094503788,26.7878795972798,7531.00245584505,6000,6965.05479408329,0,0,0,0,0,0,1.84638059244974,1.80870008079443,1.83963863064169
"13","2013+5","SPY",33.0730224864573,40.3461873545384,34.3755075149919,7984.38134918744,6000,7379.11546625974,0,0,0,0,0,0,1.75051354758889,1.63158932031431,1.73558424493475
"14","2014+5","SPY",12.5705788361015,14.555616823007,12.7828064176497,6754.23473016609,6000,6586.50859156865,1,0,1,0,1,1,1.13323164578656,1.11092697871761,1.1357159496569
"15","2015+5","SPY",33.8120927249057,43.0233237672801,35.6896154412451,8028.72556349434,6000,7509.93551472022,0,0,0,0,0,0,1.18645221784194,1.17905208876199,1.18920096292323
"16","2016+5","SPY",42.4874248468666,62.260865634901,46.140857800993,8549.245490812,6000,7980.52950028345,0,0,0,0,0,0,1.64748219070411,1.41557649242353,1.59731048545164
"17","2017+5","SPY",58.1683363741046,91.5069145285804,64.4811693804787,9490.10018244627,6000,8587.81304038966,0,0,0,0,0,0,1.02416485054017,0.91553185829509,1.00354345014293
"18","2018+5","SPY",15.1262175270442,20.8916625849158,16.6836737371072,6907.57305162265,6000,6711.02652602962,1,0,1,0,1,1,1.01488424472455,1.00585320698554,1.02332013911543
"19","2019+5","SPY",25.0995990157199,33.0685158834459,26.82163064544,7005.57754488031,5600,6692.40124536032,0,0,0,0,0,0,1.2745926811587,1.27803026850172,1.28547612628549
"20","2001+5","QQQ",19.5006096347519,27.5581639353533,21.0224066346691,7170.03657808511,6000,6673.83429190494,0,0,0,0,1,0,-0.112532916112512,0.172171080307583,-0.0555553556885148
"21","2002+5","QQQ",27.6207930739243,35.1923202688489,29.3129267026726,7657.24758443546,6000,7117.20326225462,0,0,0,0,1,0,0.847769485985951,1.00345368648998,0.87850716175239
"22","2003+5","QQQ",35.5509543818386,45.8320096873704,36.7239842250074,8133.05726291032,6000,7678.21865845239,0,0,0,0,0,0,1.90599051613378,1.67561868869768,1.87264291250585
